Order ID,Order Date,Ship Date,EmailID,Category,Product Name,Sales,Quantity,Profit,Country,City,State
CA-2013-138688,2013-06-13,2013-06-17,DarrinVanHuff@gmail.com,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.8714,United States,Los Angeles,California
CA-2011-115812,2011-06-09,2011-06-14,BrosinaHoffman@gmail.com,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.1694,United States,Los Angeles,California
CA-2011-115812,2011-06-09,2011-06-14,BrosinaHoffman@gmail.com,Art,Newell 322,7.28,4,1.9656,United States,Los Angeles,California
CA-2011-115812,2011-06-09,2011-06-14,BrosinaHoffman@gmail.com,Phones,Mitel 5320 IP Phone VoIP phone,907.152,4,90.7152,United States,Los Angeles,California
CA-2011-115812,2011-06-09,2011-06-14,BrosinaHoffman@gmail.com,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,5.7825,United States,Los Angeles,California
CA-2011-115812,2011-06-09,2011-06-14,BrosinaHoffman@gmail.com,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47,United States,Los Angeles,California
CA-2011-115812,2011-06-09,2011-06-14,BrosinaHoffman@gmail.com,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,85.3092,United States,Los Angeles,California
CA-2011-115812,2011-06-09,2011-06-14,BrosinaHoffman@gmail.com,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,911.424,4,68.3568,United States,Los Angeles,California
CA-2013-161389,2013-12-06,2013-12-11,IreneMaddox@gmail.com,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,132.5922,United States,Seattle,Washington
CA-2011-167164,2011-05-13,2011-05-15,AlejandroGrove@gmail.com,Storage,Fellowes Super Stor/Drawer,55.5,2,9.99,United States,West Jordan,Utah
CA-2011-143336,2011-08-27,2011-09-01,ZuschussDonatelli@gmail.com,Art,Newell 341,8.56,2,2.4824,United States,San Francisco,California
CA-2011-143336,2011-08-27,2011-09-01,ZuschussDonatelli@gmail.com,Phones,Cisco SPA 501G IP Phone,213.48,3,16.011,United States,San Francisco,California
CA-2011-143336,2011-08-27,2011-09-01,ZuschussDonatelli@gmail.com,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.384,United States,San Francisco,California
CA-2012-106320,2012-09-25,2012-09-30,EmilyBurns@gmail.com,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.2649,United States,Orem,Utah
CA-2013-121755,2013-01-16,2013-01-20,EricHoffmann@gmail.com,Binders,Wilson Jones Active Use Binders,11.648,2,4.2224,United States,Los Angeles,California
CA-2013-121755,2013-01-16,2013-01-20,EricHoffmann@gmail.com,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,3,11.7741,United States,Los Angeles,California
CA-2013-101343,2013-07-18,2013-07-23,RubenAusman@gmail.com,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,3.894,United States,Los Angeles,California
CA-2012-135545,2012-11-24,2012-11-30,KunstMiller@gmail.com,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.1512,United States,Los Angeles,California
CA-2012-135545,2012-11-24,2012-11-30,KunstMiller@gmail.com,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,9.3612,United States,Los Angeles,California
CA-2012-135545,2012-11-24,2012-11-30,KunstMiller@gmail.com,Paper,Xerox 1943,146.73,3,68.9631,United States,Los Angeles,California
CA-2012-135545,2012-11-24,2012-11-30,KunstMiller@gmail.com,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,22.3328,United States,Los Angeles,California
CA-2011-106376,2011-12-05,2011-12-10,BrendanSweed@gmail.com,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,111.3024,United States,Gilbert,Arizona
CA-2011-106376,2011-12-05,2011-12-10,BrendanSweed@gmail.com,Phones,netTALK DUO VoIP Telephone Service,167.968,4,62.988,United States,Gilbert,Arizona
CA-2011-139451,2011-10-12,2011-10-16,DuaneNoonan@gmail.com,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,4.172,United States,San Francisco,California
CA-2011-139451,2011-10-12,2011-10-16,DuaneNoonan@gmail.com,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,6.2031,United States,San Francisco,California
CA-2013-109806,2013-09-18,2013-09-23,JimSink@gmail.com,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,6.633,United States,Los Angeles,California
CA-2013-109806,2013-09-18,2013-09-23,JimSink@gmail.com,Phones,Panasonic Kx-TS550,73.584,2,8.2782,United States,Los Angeles,California
CA-2013-109806,2013-09-18,2013-09-23,JimSink@gmail.com,Paper,Xerox 1995,6.48,1,3.1104,United States,Los Angeles,California
US-2014-109484,2014-11-07,2014-11-13,RogerBarcio@gmail.com,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,-3.788,United States,Portland,Oregon
CA-2014-157833,2014-06-18,2014-06-21,KatherineDucich@gmail.com,Binders,Trimflex Flexible Post Binders,51.312,3,17.9592,United States,San Francisco,California
US-2012-156867,2012-11-13,2012-11-17,LenaCacioppo@gmail.com,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,-26.8758,United States,Aurora,Colorado
US-2012-156867,2012-11-13,2012-11-17,LenaCacioppo@gmail.com,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,-3.8385,United States,Aurora,Colorado
US-2012-156867,2012-11-13,2012-11-17,LenaCacioppo@gmail.com,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,-25.8174,United States,Aurora,Colorado
CA-2012-110457,2012-03-02,2012-03-06,DaveKipp@gmail.com,Tables,Hon Racetrack Conference Tables,787.53,3,165.3813,United States,Seattle,Washington
US-2014-107272,2014-11-06,2014-11-13,TroyStaebel@gmail.com,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,-1.8308,United States,Phoenix,Arizona
US-2014-107272,2014-11-06,2014-11-13,TroyStaebel@gmail.com,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,30.499,United States,Phoenix,Arizona
US-2013-125969,2013-11-07,2013-11-11,LindsayShagiari@gmail.com,Chairs,"Global Task Chair, Black",81.424,2,-9.1602,United States,Los Angeles,California
US-2013-125969,2013-11-07,2013-11-11,LindsayShagiari@gmail.com,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,26.2416,United States,Los Angeles,California
CA-2013-145583,2013-10-14,2013-10-20,LenaCreighton@gmail.com,Paper,Xerox 195,20.04,3,9.6192,United States,Roseville,California
CA-2013-145583,2013-10-14,2013-10-20,LenaCreighton@gmail.com,Paper,Xerox 1880,35.44,1,16.6568,United States,Roseville,California
CA-2013-145583,2013-10-14,2013-10-20,LenaCreighton@gmail.com,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,3.456,United States,Roseville,California
CA-2013-145583,2013-10-14,2013-10-20,LenaCreighton@gmail.com,Fasteners,Ideal Clamps,4.02,2,1.9698,United States,Roseville,California
CA-2013-145583,2013-10-14,2013-10-20,LenaCreighton@gmail.com,Binders,GBC Wire Binding Strips,76.176,3,26.6616,United States,Roseville,California
CA-2013-145583,2013-10-14,2013-10-20,LenaCreighton@gmail.com,Supplies,Fiskars Softgrip Scissors,65.88,6,18.4464,United States,Roseville,California
CA-2013-145583,2013-10-14,2013-10-20,LenaCreighton@gmail.com,Furnishings,Longer-Life Soft White Bulbs,43.12,14,20.6976,United States,Roseville,California
CA-2014-106180,2014-09-19,2014-09-24,SallyHughsby@gmail.com,Art,Newell 343,8.82,3,2.3814,United States,San Francisco,California
CA-2014-106180,2014-09-19,2014-09-24,SallyHughsby@gmail.com,Envelopes,Convenience Packs of Business Envelopes,10.86,3,5.1042,United States,San Francisco,California
CA-2014-106180,2014-09-19,2014-09-24,SallyHughsby@gmail.com,Paper,Xerox 1911,143.7,3,68.976,United States,San Francisco,California
CA-2012-110744,2012-09-07,2012-09-12,HelenAndreada@gmail.com,Storage,Safco Industrial Wire Shelving,671.93,7,20.1579,United States,Pasadena,California
CA-2013-158834,2013-03-14,2013-03-17,TamaraWillingham@gmail.com,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,17.766,United States,Scottsdale,Arizona
CA-2013-158834,2013-03-14,2013-03-17,TamaraWillingham@gmail.com,Phones,Jabra BIZ 2300 Duo QD Duo CordedÂ Headset,203.184,2,15.2388,United States,Scottsdale,Arizona
CA-2012-124919,2012-05-31,2012-06-02,StephaniePhelps@gmail.com,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,26.271,United States,San Jose,California
CA-2012-124919,2012-05-31,2012-06-02,StephaniePhelps@gmail.com,Paper,Xerox 1883,105.52,4,48.5392,United States,San Jose,California
CA-2012-124919,2012-05-31,2012-06-02,StephaniePhelps@gmail.com,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,21.0288,United States,San Jose,California
CA-2012-118948,2012-05-28,2012-06-03,NeilKnudson@gmail.com,Art,Newell 311,6.63,3,1.7901,United States,Seattle,Washington
CA-2011-104269,2011-03-01,2011-03-06,DaveBrooks@gmail.com,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,51.4764,United States,Seattle,Washington
CA-2013-162733,2013-05-12,2013-05-13,TedTrevino@gmail.com,Paper,Xerox 1920,5.98,1,2.691,United States,Los Angeles,California
CA-2013-154508,2013-11-17,2013-11-21,RubenDartt@gmail.com,Envelopes,Staples,28.4,5,13.348,United States,Carlsbad,New Mexico
CA-2013-113817,2013-11-08,2013-11-12,MaxJones@gmail.com,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,9.688,United States,Seattle,Washington
CA-2011-118962,2011-08-05,2011-08-09,ChadSievert@gmail.com,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Â” x 11Â”",20.94,3,9.8418,United States,Los Angeles,California
CA-2011-118962,2011-08-05,2011-08-09,ChadSievert@gmail.com,Paper,Xerox 1913,110.96,2,53.2608,United States,Los Angeles,California
CA-2011-118962,2011-08-05,2011-08-09,ChadSievert@gmail.com,Chairs,"Global Value Steno Chair, Gray",340.144,7,21.259,United States,Los Angeles,California
CA-2011-123260,2011-08-26,2011-08-30,FrankMerwin@gmail.com,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,22.984,United States,Los Angeles,California
CA-2012-131457,2012-10-31,2012-11-06,MaryZewe@gmail.com,Envelopes,Poly String Tie Envelopes,14.28,7,6.7116,United States,Redlands,California
CA-2011-133690,2011-08-03,2011-08-05,BruceStewart@gmail.com,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,-161.875,United States,Denver,Colorado
